Currency	Contract	Type	Direction	Quantity	Fee	FilledPrice	Date
BTC	BTCUSDT	TRADE	BUY	0.00004800	-0.000000048	97650.90	2025-11-14T04:43:00Z
BTC	BTCUSDT	TRADE	BUY	0.00100000	-0.000001	97650.90	2025-11-14T04:43:00Z
ETH	ETHUSDT	TRADE	BUY	0.01735000	-0.00001735	2880.28	2025-11-19T19:50:00Z
MNT	MNTUSDT	TRADE	BUY	6.35000000	-0.00635	1.18240	2025-11-04T07:36:00Z
ETH	ETHUSDT	TRADE	BUY	0.02381000	-0.00002381	3504.01	2025-11-04T08:40:00Z
SOL	SOLUSDT	TRADE	BUY	0.04700000	-0.000047	159.85	2025-11-04T08:40:00Z
XRP	XRPUSDT	TRADE	BUY	6.57000000	-0.00657	1.90	2025-11-21T11:02:00Z
BTC	BTCUSDT	TRADE	BUY	0.00050000	-0.0000005	98009.30	2025-11-14T05:02:00Z
BTC	BTCUSDT	TRADE	BUY	0.00112500	-0.000001125	88826.90	2025-11-19T19:50:00Z
ETH	ETHUSDT	TRADE	BUY	0.02653000	-0.00002653	2826.86	2025-11-20T17:30:00Z
SOL	SOLUSDT	TRADE	BUY	0.15910000	-0.0001591	157.03	2025-11-04T07:36:00Z
SOL	SOLUSDT	TRADE	BUY	0.15930000	-0.0001593	157.03	2025-11-04T07:36:00Z
BTC	BTCUSDT	TRADE	BUY	0.00052000	-0.00000052	98009.30	2025-11-14T05:02:00Z
SOL	SOLUSDT	TRADE	BUY	0.26570000	-0.0002657	159.85	2025-11-04T08:40:00Z
XRP	XRPUSDT	TRADE	BUY	6.58000000	-0.00658	1.90	2025-11-21T11:02:00Z
BTC	BTCUSDT	TRADE	BUY	0.00230300	-0.000002303	86810.70	2025-11-20T17:35:00Z
BTC	BTCUSDT	TRADE	BUY	0.00052600	-0.000000526	94976.80	2025-11-14T20:28:00Z
ETH	ETHUSDT	TRADE	BUY	0.07053000	-0.00007053	2126.63	2026-03-20T19:30:00Z
SOL	SOLUSDT	TRADE	BUY	0.35290000	-0.0003529	141.66	2025-11-14T04:54:00Z
XRP	XRPUSDT	TRADE	BUY	8.73000000	-0.00873	2.28960	2025-11-14T05:00:00Z
BTC	BTCUSDT	TRADE	BUY	0.00176300	-0.000001763	113369.70	2025-08-21T10:35:00Z
BTC	BTCUSDT	TRADE	BUY	0.00572400	-0.000005724	69870.80	2026-03-20T19:29:00Z
MNT	MNTUSDT	TRADE	BUY	30.93000000	-0.03093	1.18240	2025-11-04T07:36:00Z
BTC	BTCUSDT	TRADE	BUY	0.00053400	-0.000000534	93495.60	2025-11-17T17:36:00Z
BTC	BTCUSDT	TRADE	BUY	0.00401700	-0.000004017	87125.00	2025-11-20T17:29:00Z
XRP	XRPUSDT	TRADE	BUY	8.99000000	-0.00899	2.22300	2025-11-16T14:59:00Z
MNT	MNTUSDT	TRADE	BUY	16.59000000	-0.01659	1.20490	2025-11-14T05:00:00Z
XRP	XRPUSDT	TRADE	BUY	13.15000000	-0.01315	1.90	2025-11-21T11:02:00Z
BTC	BTCUSDT	TRADE	BUY	0.00095500	-0.000000955	104690.80	2025-10-17T10:06:00Z
ETH	ETHUSDT	TRADE	BUY	0.00472000	-0.00000472	3504.01	2025-11-04T08:40:00Z
MNT	MNTUSDT	TRADE	BUY	42.10000000	-0.0421	1.18750	2025-11-04T07:40:00Z
BTC	BTCUSDT	TRADE	BUY	0.00089100	-0.000000891	112202.40	2025-10-11T12:46:00Z
MNT	MNTUSDT	TRADE	BUY	47.12000000	-0.04712	1.06110	2025-11-19T19:51:00Z
BTC	BTCUSDT	TRADE	BUY	0.00052600	-0.000000526	95042.10	2025-11-14T20:26:00Z
BTC	BTCUSDT	TRADE	BUY	0.00361800	-0.000003618	82907.40	2025-11-21T11:01:00Z
XRP	XRPUSDT	TRADE	BUY	64.61000000	-0.06461	1.43160	2026-03-20T19:30:00Z
SOL	SOLUSDT	TRADE	BUY	0.37470000	-0.0003747	133.43	2025-11-17T17:37:00Z
XRP	XRPUSDT	TRADE	BUY	13.15000000	-0.01315	1.90	2025-11-21T11:02:00Z
XRP	XRPUSDT	TRADE	BUY	0.01000000	-0.00001	1.90	2025-11-21T11:02:00Z
ETH	ETHUSDT	TRADE	BUY	0.01430000	-0.0000143	3496.42	2025-11-04T07:37:00Z
BTC	BTCUSDT	TRADE	BUY	0.00095600	-0.000000956	104569.50	2025-11-04T07:34:00Z
SOL	SOLUSDT	TRADE	BUY	0.39910000	-0.0003991	125.27	2025-11-21T11:02:00Z
ETH	ETHUSDT	TRADE	BUY	0.01582000	-0.00001582	3160.23	2025-11-14T04:55:00Z
MNT	MNTUSDT	TRADE	BUY	5.00000000	-0.005	1.18240	2025-11-04T07:36:00Z
ETH	ETHUSDT	TRADE	BUY	0.01735000	-0.00001735	2880.28	2025-11-19T19:50:00Z
SOL	SOLUSDT	TRADE	BUY	2.25680000	-0.0022568	88.62	2026-03-20T19:30:00Z
XRP	XRPUSDT	TRADE	BUY	3.35000000	-0.00335	2.24530	2025-11-04T07:37:00Z
MNT	MNTUSDT	TRADE	BUY	108.44000000	-0.10844	0.92210	2025-11-21T11:02:00Z
BTC	BTCUSDT	TRADE	BUY	0.00100000	-0.000001	97650.90	2025-11-14T04:43:00Z
XRP	XRPUSDT	TRADE	BUY	10.53000000	-0.01053	1.90	2025-11-21T11:02:00Z
XRP	XRPUSDT	TRADE	BUY	2.64000000	-0.00264	1.90	2025-11-21T11:02:00Z
BTC	BTCUSDT	TRADE	BUY	0.00052600	-0.000000526	94976.80	2025-11-14T20:28:00Z
ETH	ETHUSDT	TRADE	BUY	0.02653000	-0.00002653	2826.86	2025-11-20T17:30:00Z
SOL	SOLUSDT	TRADE	BUY	0.35290000	-0.0003529	141.66	2025-11-14T04:54:00Z
BTC	BTCUSDT	TRADE	BUY	0.00401700	-0.000004017	87125.00	2025-11-20T17:29:00Z
XRP	XRPUSDT	TRADE	BUY	5.24000000	-0.00524	1.43160	2026-03-20T19:30:00Z
